YEAR,MATCH,INNINGS,NO,100S,50S,0S,HS,RUNS,AVG,S/R,Ca,St
1999,13,12,0,0,1,2,60,250,20.83,86.51,4,0
2000,5,3,1,0,0,1,12,15,7.5,150,3,0
2001,5,3,1,0,0,0,28,36,18,42.86,3,0
2002,9,5,1,0,0,1,44,94,23.5,67.14,2,0
2003,12,10,1,2,0,0,115,369,41,61.09,4,0
2004,27,24,2,0,3,0,82,620,28.1,92.95,6,0
2205,27,27,3,2,6,4,143,895,37.2,81.81,12,0
2006,22,20,2,1,7,0,75,610,33.8,76.25,6,0
2007,22,22,3,0,3,3,108,638,33.58,78.19,10,0
2008,21,20,3,1,5,0,89,707,41.5,78.47,6,0
2009,20,17,3,1,6,0,125,681,48.6,92.03,10,0
2010,17,16,1,0,1,1,128,410,27.3,75.09,3,0
2011,5,5,0,0,0,0,39,113,22.6,63.13,3,0
2012,8,6,0,0,0,2,17,35,5.8,54.69,2,0
2013,4,3,1,0,0,0,34,64,32,70.33,0,0
2015,12,12,3,1,0,1,43,203,22.56,73.55,5,0
2016,15,15,6,0,4,0,112,607,67.44,108.39,6,0
2017,9,9,1,1,3,0,90,313,39.13,100,5,0
2018,17,15,6,0,3,0,101,516,57.33,93.99,4,0
2019,17,14,2,0,2,0,78,358,29.83,75.37,4,0
,,,,,,,,,,,,
,,,,,,,,,,,,
